DATE,Temperature,Salinity,Oxygen,Turbidity,AirTemp,WindSpeed
5/29/2002,20.54,27.5133,9.86,0.2,17.4667,1.4667
5/30/2002,20.9826,27,9.7609,0,18.5913,1.0913
5/31/2002,22.3292,25.7708,10.6208,0.55,19.9667,1.7625
6/1/2002,23.4708,25.4292,8.7792,0.4783,20.2292,2.6875
6/2/2002,23.29,26.75,6.33,0.4,18.535,1.93
6/3/2002,22.3417,28.0125,7.0458,0.6667,15.2125,1.6417
6/4/2002,22.5708,27.9708,8.9833,1.4167,15.025,1.525
6/5/2002,22.0708,24.7167,7.0958,2.3333,18.8792,2.5708
6/6/2002,20.6087,25.9304,2.5174,1.6875,16.7217,1.7304
6/7/2002,18.3074,27.2815,2.9296,0,12.0407,1.7333
6/8/2002,17.9106,27.0872,6.0553,0.2333,13.0638,1.4085
6/9/2002,19.0652,23.75,8.7783,1.122,15.7804,1.5565
6/10/2002,20.1413,26.7652,8.0783,0.9348,18.3587,1.0978
6/11/2002,20.7021,24.1745,10.2957,1.0213,17.966,2.1404
6/12/2002,21.0354,28.8646,6.2125,1.1111,14.775,1.2354
6/13/2002,19.7644,29.2578,5.7911,                    ,13.7222,1.2022
6/14/2002,18.9771,28.9438,6.9521,                    ,13.7562,1.1208
6/15/2002,17.8208,29.2104,5.1063,                    ,13.0062,2.1437
6/16/2002,17.3979,28.2532,7.0383,                    ,14.8808,1.083
6/17/2002,18.7188,27.2521,9.6021,                    ,18.5771,1.4833
6/18/2002,21.0234,26.9021,10.1,                    ,19.4702,1.4468
6/19/2002,22.0191,26.9936,8.0383,7,19.4532,0.4851
6/20/2002,23.0479,26.775,8.1083,                    ,18.7875,0.8979
6/21/2002,24.0833,24.1937,7.7646,                    ,19.6875,1.3521
6/22/2002,23.687,21.3761,6.037,1.6667,20.7696,1.3913
6/23/2002,24.3159,25.2341,5.1659,                    ,20.4227,1.2705
6/24/2002,24.1848,25.0543,6.1804,                    ,24.7457,2.1609
6/25/2002,25,27.5442,6.3512,                    ,20.3023,1.1744
6/26/2002,24.7488,25.7116,6.6535,2.5357,23.3558,1.8767
6/27/2002,24.9956,22.82,7.4311,2.2444,22.9356,2.5422
6/28/2002,25.2681,25.2872,3.2106,3.6383,22.5851,1.5362
6/29/2002,25.8447,27.0915,3.683,6.0638,22.0234,1.4851
6/30/2002,26.3085,25.666,2.1532,6.8298,19.8702,1.1681
7/1/2002,26.1068,23.1591,1.2432,12.4773,22.3273,2.1909
7/2/2002,26.4283,25.8043,0.2561,12.6957,24.7109,1.2043
7/3/2002,26.8792,26.8333,0.2681,16.3125,27.8979,0.7833
7/4/2002,28.1583,26.3958,0.6578,10.1667,27.7104,1.0042
7/5/2002,28.7396,27.0667,1.5812,18.9583,26.0417,2.4167
7/6/2002,28.2708,27.4354,1.9229,20.7708,21.4875,1.4771
7/7/2002,26.7458,27.9396,2.4562,19.7083,21.8938,0.8708
7/8/2002,25.8,27.5867,7.0956,14.1778,22.6844,1.0244
7/9/2002,25.593,25.586,6.4605,15.7907,23.7488,1.7512
7/10/2002,25.9659,28.6,5.3068,10.625,23.0727,1.6727
7/11/2002,25.5456,28.9957,5.2696,                    ,18.9217,1.6283
7/12/2002,25.8,28.3152,8.0543,                    ,19.9522,1.0087
7/13/2002,25.0348,25.8,7.2848,                    ,22.1522,2.0609
7/14/2002,24.9422,26.34,4.8689,                    ,23.4067,1.4489
7/15/2002,25.1362,26.8213,3.2979,                    ,23.2404,1.8723
7/16/2002,25.7458,29.4063,2.775,                    ,20.9958,1.5563
7/17/2002,25.7957,28.8979,2.8,                    ,21.0489,1.3851
7/18/2002,25.9617,28.3872,2.3809,                    ,26.5106,1.0489
7/19/2002,26.1771,29.6854,0.375,                    ,23.3521,1.2937
7/20/2002,25.175,29.1417,0.6708,                    ,19.4958,1.4396
7/21/2002,24.6395,27.8651,4.9349,                    ,19.793,1.0698
7/22/2002,25.3884,25.4209,6.814,                    ,23.514,1.6977
7/23/2002,25.4143,23.6214,5.2,                    ,24.6262,2.3381
7/24/2002,25.8304,28.4674,1.4,                    ,18.9478,1.7022
7/25/2002,24.4745,28.6234,0.6809,                    ,18.717,1.7255
7/26/2002,24.513,29.2609,4.7565,1,18.0957,1.6826
7/27/2002,24.2667,28.2208,7.3521,0.2143,20.4833,1.0979
7/28/2002,23.7227,28.0091,6.2273,0,22.2591,0.6864
7/29/2002,23.781,27.8286,5.9357,0.2,26.0571,1.0238
7/30/2002,25.1386,28.9591,7.4614,0.2,28.2364,1.0773
7/31/2002,26.5417,29.0854,7.575,2.6667,26.5187,1.1583
8/1/2002,27.6043,29.3936,8.1936,0.25,26.5808,1.0319
8/2/2002,28.1404,28.3277,9.7596,0.4333,23.8979,1.4064
8/3/2002,28.5419,26.5628,10.2837,0.7297,26.0791,0.9977
8/4/2002,29.1087,26.9065,9.8,1.2826,25.7913,0.9957
8/5/2002,28.8636,26.0205,6.2773,1.9767,25.9341,1.9902
8/6/2002,27.9543,28.1261,5.0848,2.2826,22.4196,2.5457
8/7/2002,26.0349,29.0209,5.5628,1.619,20.7023,1.9558
8/8/2002,25.1587,28.8391,7.1804,                    ,20.7826,1.2696
8/9/2002,25.0936,28.4596,9.217,                    ,21.8574,1.317
8/10/2002,25.3511,27.0362,10.8021,                    ,22.9979,1.1426
8/11/2002,25.1617,25.3787,10.2787,33,23.7085,1.5468
8/12/2002,25.4535,26.4326,8.4814,0,24.8186,1.2093
8/13/2002,26.1268,27.9683,7.3659,42,26.1878,0.8512
8/14/2002,26.8419,26.1163,7.6558,                    ,25.8023,1.7535
8/15/2002,27.3617,24.2574,6.6787,                    ,25.6745,2.1468
8/16/2002,27.0614,23.9795,3.7273,4,25.8295,1.9295
8/17/2002,27.2745,25.8979,4.3511,                    ,27.2426,1.1702
8/18/2002,28.0213,26.4106,3.7191,0,26.8319,1.1553
8/19/2002,28.4255,28.1574,2.8319,21,27.6038,0.9733
8/20/2002,28.0625,29.2854,1.9729,                    ,                    ,1.5125
8/21/2002,26.883,28.7957,4.2064,3.1053,23.3935,1.2872
8/22/2002,26.0667,26.725,6.8708,4.0625,21.3229,1.6729
8/23/2002,25.2917,28.1208,3.2792,6.2553,19.3583,1.7125
8/24/2002,23.7646,29.0125,3.9896,10.7872,19.0812,1.2896
8/25/2002,23.7234,29.0766,5.5787,17.413,18.9,1.5234
8/26/2002,24.3804,27.6522,7.4848,18.0444,22.2304,1.1543
8/27/2002,24.8591,28.5682,6.1841,10.7955,21.2045,0.9159
8/28/2002,24.917,29.1298,5.1149,6.8696,18.5,1.5255
8/29/2002,23.45,29.4826,3.3174,6.3043,18.8565,1.9304
8/30/2002,22.4915,28.6979,3.2191,7.3636,17.2574,1.3
8/31/2002,22.1292,27.9312,4.8333,12.5532,15.7354,1.6104
9/1/2002,21.7396,28.1313,5.6479,13.6042,16.0813,1.7958
9/2/2002,20.9638,28.6255,4.6447,11.4894,18.6596,2.5021
9/3/2002,20.5891,28.7239,4.9065,9.2647,20.2261,1.0522
9/4/2002,20.8696,28.0304,5.1674,7.5,20.5391,1.1522
9/5/2002,21.7489,28.5894,7.7277,                    ,19.2766,2.266
9/6/2002,22.6167,28.1104,9.9042,                    ,16.9771,1.2333
9/7/2002,22.8354,27.6583,9.5542,5,19.6229,0.9688
9/8/2002,23.0583,26.4917,9.125,                    ,19.9979,1.3146
9/9/2002,23.0756,27.2933,8.4156,                    ,21.4822,1.1667
9/10/2002,23.3644,28.5178,7.7933,32,21.64,1.3333
9/11/2002,23.5313,29.5625,5.4646,4,19.9583,3.3521
9/12/2002,21.6489,29.2638,7.3723,                    ,15.1213,2.8894
9/13/2002,21.3562,28.4187,8.4354,                    ,18.5,1.775
9/14/2002,21.6213,27.283,8.8511,23.6,20.5,1.6085
9/15/2002,22.0477,25.1273,7.3909,                    ,21.6386,2.4773
9/16/2002,21.9149,25.8468,3.1362,                    ,19.6745,2.0511
9/17/2002,21.8083,29.9063,4.4458,                    ,16.7104,1.15
9/18/2002,21.9467,29.8533,8.0067,                    ,17.44,1.2556
9/19/2002,22.5542,28.4125,9.6062,1.9655,18.25,1.2792
9/20/2002,22.5854,26.5375,9.4354,2.4792,19.7208,1.5708
9/21/2002,22.7021,25.4574,9.0426,2.5106,21.5489,1.4979
9/22/2002,22.8818,27.7068,5.9341,1.8864,21.825,1.4932
9/23/2002,22.9729,27.8354,3.2813,1.2051,21.2292,1.3854
9/24/2002,22.8146,28.0688,2.4542,0.625,16.2854,1.8479
9/25/2002,21.6915,27.7298,4.8085,1.383,16.0043,1.1277
9/26/2002,21.1083,28.5375,5.1875,0.7407,15.6292,1.2
9/27/2002,20.2771,28.6958,4.3625,0.56,17.5042,1.4187
9/28/2002,20.4957,26.8787,7.1787,0.95,19.166,2.8979
9/29/2002,21.317,27.6787,7.334,1.2444,13.2447,0.9702
9/30/2002,21.1295,26.9023,8.4568,1.6136,15.5068,1.1886
10/1/2002,20.6244,24.1533,9.2,1.6444,19.4178,2.7822
10/2/2002,21.1187,24.7396,7.7521,1.5625,20.7208,1.8625
10/3/2002,21.225,28.2792,5.3292,1.5625,17.5354,1.4729
10/4/2002,20.3458,28.7375,4.8688,                    ,14.7375,1.9667
10/5/2002,20.1479,25.5833,7.4146,                    ,21.0604,2.5625
10/6/2002,20.5479,27.9208,6.7042,                    ,13.3667,1.6375
10/7/2002,19.7354,28.0437,7.4312,                    ,17.1521,1.8917
10/8/2002,19.2458,28.4646,7.5875,                    ,10.7125,1.8521
10/9/2002,18.2,28.7917,7.3417,                    ,9.7854,1.0542
10/10/2002,17.5851,29.0745,7.8532,                    ,11.4957,1.317
10/11/2002,17.1542,29.4146,6.9708,                    ,14.3354,2.2479
10/12/2002,16.7063,29.5125,6.4542,                    ,14.1958,2.6708
10/13/2002,16.4354,29.7146,5.9354,                    ,15.1146,1.3854
10/14/2002,16.4729,28.5708,8.0104,                    ,9.5729,2.5667
10/15/2002,16.025,29.6812,7.8208,2.2963,7.3937,1.2333
10/16/2002,15.3588,29.9147,8.3412,1.9118,12.4735,3.3765
